1.0	easy	SELECT Count(*) FROM log2 WHERE log2.idcase = 'terminal'	SELECT count(*) FROM log1 WHERE activity = 'Closed'	2667	2667	nan	nan	*Original	original	Quantas atividades fechadas temos?	How many closed activities do we have?	"SELECT count(*) FROM log1 WHERE activity=""Closed"""	Quantas atividades 'fim da viagem' temos?	How many activities 'end trip' do we have?	SELECT count(*) FROM events_log WHERE activity = 'End trip'	S	eventos	nan
12.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Liste todos os recursos e a quantos eventos cada um está relacionado, em ordem decrescente em relação ao número de eventos.	List all resources and how many events each is related to, in descending order of number of events.	SELECT resource, COUNT(*) as n_events FROM justica GROUP BY resource ORDER BY n_events DESC;	 	nan	SELECT resource, COUNT(*) FROM events_log GROUP BY resource ORDER BY COUNT(*) DESC	S	recurso	Similar a 2669 e 2674, no entanto esta explicitamente solicita a ordenação em ordem descrescente
13.0	easy	SELECT * FROM log1 WHERE log1.costevent != 'terminal'	SELECT * FROM log6 WHERE costevent != 'null'	2677	2677	nan	nan	Original	nan	Quais são os eventos em que o custo de evento não são nulos?	What are the events where the event cost is not null?	SELECT * FROM volvo WHERE costevent IS NOT NULL;	 	nan	SELECT * FROM events_log WHERE cost IS NOT NULL	S	eventos	Realizar consulta similar para modelos treinados pelo conjunto Spider que utilizam o operador =
14.0	extra	SELECT log1.resource FROM log1 WHERE log1.costevent = 'terminal' INTERSECT SELECT log1.resource, log1.costevent FROM log1 WHERE log1.costevent = 'terminal'	SELECT idcase, idevent, startdatetime, activity, resource FROM log6 WHERE activity = 'In Progress' UNION SELECT idcase, idevent, startdatetime, activity, resource FROM log6 WHERE activity = 'Closed'	2678	2678	nan	nan	* Original (a requisição original não faz sentido, é incompleta)	nan	"Retornar apenas os eventos ""In Progress"" e ""Closed"""	"Return only ""In Progress"" and ""Closed"" events"	"SELECT idcase, idevent, startdatetime, activity, resource WHERE activity = ""In Progress"" UNION SELECT idcase, idevent, startdatetime, activity, resource WHERE activity = ""Closed"""	"Retorne os dados dos eventos relacionados à execução das atividades ""inicio da viagem"" ou ""requisição de pagamento""."	"Return data from events related to the execution of activities ""start trip"" or ""request payment""."	"SELECT * FROM events_log WHERE activity = ""Start trip""  UNION SELECT * FROM events_log WHERE activity = ""Request payment"""	S	eventos	"Não sei se faz muito sentido essa pergunta. No entanto, a pesquisa com ""e"" faz mais sentido ser com UNION, se utilizar ""ou"" então faz sentido o operador OR, mas precisamos ver se mantemos a sintaxe correta ou o modo como é falado coloquialmente."
15.0	extra	SELECT log2.activity FROM log2 GROUP BY log2.activity ORDER BY Count(*) Desc LIMIT 1	SELECT activity, COUNT(activity) FROM log1 GROUP BY activity ORDER BY COUNT(activity)	2679	2679	nan	nan	* Original (achei que não fez sentido do jeito original)	nan	Quais são as atividades com maior frequência?	What are the most frequent activities?	SELECT activity, COUNT(activity) AS n_activity FROM indicidentes GROUP BY activity ORDER BY n_activity	Qual é a atividade mais frequentemente executada?	What is the most frequently performed activity?	SELECT activity FROM events_log GROUP BY activity ORDER BY COUNT(*) DESC LIMIT 1	S	atividade	nan
16.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Recupere o nome das atividades e a quantidade de vezes que elas foram executadas. Ordene a resposta de acordo com a frequência de execução das atividades.	Retrieve the name of the activities and the number of times they were executed. Sort the answer according to the frequency of execution of the activities.	SELECT activity, COUNT(activity) AS n_activity FROM indicidentes GROUP BY activity ORDER BY n_activity	 	nan	SELECT activity, COUNT(*) FROM events_log GROUP BY activity ORDER BY COUNT(*)	S	atividade	nan
17.0	easy	SELECT * FROM log1 WHERE log1.costevent = 'terminal'	SELECT * FROM log1 WHERE enddatetime BETWEEN '2016-01-01' AND '2017-01-31'	2680	2680	nan	nan	Original	nan	Quais são os eventos que aconteceram no ano de 2016?	What are the events that took place in the year 2016?	SELECT * FROM incidentes WHERE endtime BETWEEN '2016-01-01' AND '2017-01-01';	Quais são os eventos que aconteceram no ano de 2017?	What are the events that took place in the year 2017?	SELECT * FROM events_log WHERE timestamp BETWEEN '2017-01-01' AND '2018-01-01'	S	eventos	nan
18.0	easy	SELECT log1.idcase FROM log1 GROUP BY log1.idcase HAVING Count(*) BETWEEN 'terminal' AND 'terminal'	SELECT idcase FROM log3 GROUP BY idcase HAVING count(idcase) BETWEEN 1 AND 20	2681	2681	nan	nan	*Original (talvez eu não tenha entendido a intenção da consulta, mas me parece que mesmo para a consulta original o statement SQL está errado)	nan	Quais são os incidentes com a quantidade de cases entre 1 e 20 eventos de atualização?	What are the incidents with the number of cases between 1 and 20 update events?	*SELECT idcase FROM process_mining.gerenciamento_de_incidentes GROUP BY idcase having count(idcase) between 1 and 20;	Quais são as declarações com até 20 eventos?	What are the declarations with up to 20 events?	SELECT idcase FROM events_log GROUP BY idcase HAVING count(*) <= 20	S	casos	nan
19.0	hard	SELECT log6.resource FROM log6 GROUP BY log6.resource ORDER BY Count(*) Desc LIMIT 1	SELECT resource FROM log2 GROUP BY resource ORDER BY count(idevent) DESC LIMIT 5	2683	2683	nan	nan	Original	nan	Quais são os top 5 recursos com a maior quantidade de cases?	What are the top 5 resources with the most cases?	SELECT resource FROM process_mining.judicial GROUP BY resource ORDER BY count(idevent) desc LIMIT 5;	 	nan	select resource FROM events_log GROUP BY resource ORDER BY COUNT(DISTINCT idcase)  desc LIMIT 5	S	recurso	Se tiver mais de 5 recursos com maior quantidade de eventos, esses ficarão fora da consulta com esse SQL.
20.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Quais são os top 5 recursos com a maior quantidade de eventos?	What are the top 5 resources with the most events?	SELECT resource FROM process_mining.judicial GROUP BY resource ORDER BY count(idevent) desc LIMIT 5;	 	nan	SELECT resource FROM events_log GROUP BY resource ORDER BY count(*) desc LIMIT 5	S	recurso	Similar a 2676, porém consultando apenas os TOP 5. No entanto, se tiver mais de 5 recursos com maior quantidade de eventos, esses ficarão fora da consulta com esse SQL.
21.0	extra	SELECT Count(*), log1.resource FROM log1 WHERE log1.enddatetime = 'terminal' GROUP BY log1.resource	SELECT resource, count(*) FROM log6 WHERE activity = 'In Progress' AND startdatetime BETWEEN '2012-01-01' AND '2012-12-31' GROUP BY resource	2686	2686	nan	nan	*Original (não está exatamente correta)	nan	Quantas atividades em progresso temos para cada recurso no ano de 2012?	How many activities do we have in progress for each resource in the year of 2012?	"SELECT resource, count(*) FROM log6 WHERE activity=""In Progress"" AND startdatetime LIKE '2012%' GROUP BY resource"	"Quantas atividades ""inicio da viagem"" temos para cada recurso no ano de 2016?"	"How many activities ""start trip"" do we have for each resource in the year 2016?"	"SELECT count(*), resource FROM events_log WHERE activity=""Start trip"" AND timestamp LIKE '2016%' GROUP BY resource"	S	recurso	nan
22.0	medium	SELECT log2.activity FROM log2 GROUP BY log2.activity ORDER BY Count(*) Desc LIMIT 1	SELECT resource, count(*) FROM log6 WHERE activity = 'Awaiting Assignment' GROUP BY resource	2688	2688	nan	nan	*Original (não está exatamente correta)	nan	Quantas atividades 'esperando atribuição' existem para cada recurso?	What activity does the resource have the most? (acho que eu sobrepus o original sem querer)	"SELECT resource, count(*) FROM log6 WHERE activity=""Awaiting Assignment"" GROUP BY resource"	Quantas atividades 'declaração rejeitada pelo supervisor' existem para cada recurso?	How many activities 'declaration rejected by supervisor' are there for each resource?	SELECT  count(*), resource FROM events_log WHERE activity='Declaration rejected by supervisor' GROUP BY resource	S	eventos	nan
23.0	easy	SELECT log2.idcase FROM log2 GROUP BY log2.idcase HAVING Count(*) > 'terminal'	SELECT count(activity) FROM log7 GROUP BY idcase HAVING count(activity) > 50	2689	2689	nan	nan	Original	nan	Quais são os cases que possuem mais de 50 atividades?	Which cases have more than 50 activities?	*SELECT count(activity) FROM process_mining.prefeitura GROUP BY idcase HAVING count(activity) > 50;	Quais são os cases que possuem mais de 20 atividades?	Which cases have more than 20 activities?	SELECT idcase FROM events_log GROUP BY idcase HAVING count(*) > 20	S	casos	Similar a 2681
24.0	hard	SELECT log1.activity FROM log1 GROUP BY log1.activity ORDER BY Count(*) Desc LIMIT 1	SELECT count(activity) FROM log7 GROUP BY idcase ORDER BY count(activity) DESC LIMIT 1	2690	2690	nan	nan	* Original (não faz sentido)	nan	Qual é a maior quantidade de atividades em todo o log?	What is the greatest amount of activity in the entire log?	SELECT max(tb_activity.count_activity) FROM (SELECT count(activity) as count_activity, idcase FROM process_mining.prefeitura GROUP BY idcase) as tb_activity	Quais casos possuem a maior quantidade de eventos?	Which cases have the most number of events?	SELECT idcase FROM events_log GROUP BY idcase HAVING COUNT(*) = (SELECT  COUNT(*) FROM events_log GROUP BY idcase ORDER BY count(*) DESC LIMIT 1)	S	casos	Precisa ser casos, pois mais de um caso pode ter a maior quantidade de eventos.
25.0	extra	SELECT log2.idcase FROM log2 EXCEPT SELECT log2.idcase FROM log1 WHERE log1.costevent = 'terminal'	SELECT DISTINCT idcase FROM log1 WHERE resource LIKE '%908%' and idcase NOT IN (SELECT DISTINCT idcase FROM log1 where activity = 'Closed')	2693	2693	nan	nan	Original (tem que especificar o recurso - na requisição está aberto para entrada de dados)	nan	Selecionar todos os casos do recurso solicitado que ainda não fechou.	Select all cases of the requested resource that have not yet closed.	SELECT T0.idcase FROM incidentes T0 WHERE T0.resource1 LIKE '%908%' AND NOT EXISTS(SELECT '1' FROM Incidentes T1 WHERE T1.idcase = T0.idcase AND T1.activity IN('Closed'));	"Recupere os identificadores dos casos nos quais o recurso Sara esteve envolvido e que ainda não passaram pela atividade ""requisição de pagamento""."	"Retrieve the identifiers of the cases in which the resource Sara was involved in and have not yet gone through the activity ""request payment""."	SELECT DISTINCT idcase FROM events_log WHERE resource='Sara'  AND idcase NOT IN (SELECT idcase FROM events_log WHERE activity = 'Request payment')	S	casos	nan
26.0	medium	SELECT log1.resource FROM log1 WHERE log1.startdatetime BETWEEN 'terminal' AND 'terminal'	SELECT * FROM log1 WHERE idcase = 'INC0001287' AND enddatetime BETWEEN '2016-03-02' AND '2016-07-13' ORDER BY enddatetime	2694	2694	nan	nan	*Original - temos que completar a consulta - para select * estamos falando sempre de eventos e não de casos	nan	Recuperar informações de um determinado caso entre data inicial e data final.	Retrieve information for a given case between start date and end date.	SELECT * FROM incidentes WHERE idcase = 'INC0001287' AND CAST(enddatetime AS date) BETWEEN '2016-03-02' AND '2016-07-13' ORDER BY enddatetime;	Recupere as informações dos eventos ocorridos entre as data '2017-01-10' e '2017-02-01' no caso com o identificador 'declaracao 143598'	Retrieve the information of events that occurred between the date '2017-01-10' and '2017-02-01' in case with the identifier 'declaration 143598'	SELECT * FROM events_log WHERE idcase = 'declaration 143598' AND timestamp BETWEEN '2017-01-10' AND '2017-02-01'	S	casos	nan
27.0	medium	SELECT Count(*) FROM log1 WHERE log1.idcase LIKE 'terminal' GROUP BY log1.resource	SELECT v0.resource, count(v0.idcase) FROM log4 AS v0 WHERE v0.startdatetime BETWEEN '2012-05-01' AND '2012-05-31' GROUP BY v0.resource HAVING count(v0.idcase) > 0	2695	2695	nan	nan	*Original - instanciar a data e a consulta está mal contextualizada	nan	Recuperar quantos casos cada recurso teve no período entre x data a data y.	Retrieve how many cases each resource had in the period between x date and y date.	SELECT v0.resource1, count(v0.idcase) AS caso FROM volvo AS v0 WHERE CAST(v0.startdatetime AS date) BETWEEN date('2012-05-01') AND date('2012-05-31') GROUP BY v0.resource1 HAVING caso > 0	Recuperar quantos casos cada recurso esteve associado no periodo entre '2017-01-01' e '2017-05-31'.	Retrieve how many cases each resource was associated with in the period between '2017-01-01' and '2017-05-31'.	SELECT resource, count(DISTINCT idcase) FROM events_log WHERE timestamp BETWEEN '2017-01-01' AND '2017-05-31' GROUP BY resource	S	casos	nan
28.0	hard	SELECT log2.idcase FROM log2 GROUP BY log2.idcase ORDER BY Count(*) Desc LIMIT 1	SELECT re_1.idcase FROM log8 AS re_1 GROUP BY re_1.idcase ORDER BY count(re_1.idcase) DESC LIMIT 10	2696	2696	nan	nan	Original	nan	Quais são os 10 cases em ordem decrescente com a maior quantidade de atividades?	What are the 10 cases in descending order with the greatest amount of activities?	SELECT re_1.idcase FROM reembolso as re_1 GROUP BY re_1.idcase ORDER BY count(re_1.idcase) DESC LIMIT 10	 	nan	SELECT idcase FROM events_log GROUP BY idcase ORDER BY Count(DISTINCT activity) Desc LIMIT 10	S	casos	Nessa consulta quando uma atividade é executada mais de uma vez é considerada apenas uma, ou seja, sem duplicidade
29.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Quais são os 10 cases em ordem decrescente com a maior quantidade de eventos?	What are the 10 cases in descending order with the greatest amount of events?	SELECT re_1.idcase FROM reembolso as re_1 GROUP BY re_1.idcase ORDER BY count(eventID) DESC LIMIT 10	 	nan	SELECT idcase FROM events_log GROUP BY idcase ORDER BY Count(*) Desc LIMIT 10	S	casos	Similar a 2690, no entanto se tiver mais de 10 casos que possuem a maior quantidade de atividades, alguns ficarão fora da consulta
30.0	medium	SELECT log2.idcase FROM log2	SELECT DISTINCT idcase, costevent FROM log7 ORDER BY idcase	2704	2704	nan	nan	Original	nan	Retornar o custo para cada caso	Retrieves the value released for each case.	SELECT DISTINCT idcase AS Caso, costevent AS Valor FROM prefeitura order by idcase	 	nan	nan	N	casos	Reformular o SQL, no entanto precisa ajustar o campo custo no log de eventos.
31.0	medium	SELECT log1.resource FROM log1 GROUP BY log1.resource ORDER BY Count(*) Desc HAVING Count(*) >= 'terminal'	SELECT resource, count(*) FROM log5 GROUP BY resource HAVING count(*) >= 100	2709	2709	nan	nan	*Original (entendi mas achei muito mal escrita)	nan	Selecionar os recursos que tiveram pelo menos 100 eventos feitos por ordem decrescente de quantidade de eventos realizados	Select the resources that had at least 100 events made in descending order of number of events performed	SELECT resource , count(*) as contagem FROM tabela GROUP BY 1 HAVING contagem >= 100 ORDER BY 1 DESC	nan	nan	SELECT resource FROM events_log GROUP BY resource HAVING count(*) >= 100 ORDER BY count(*) DESC	S	recurso	nan
32.0	medium	SELECT log6.idcase, log2.costevent FROM log6 ORDER BY log1.idcase Asc	SELECT idcase, idevent, startdatetime FROM log4 ORDER BY idcase, startdatetime	2712	2712	nan	nan	Original REVER ESSE CONSULTA	nan	Selecionar todos os cases e eventos ordenados por número do caso e data do início da execução	Select all cases and events sorted by case number and execution start date	SELECT idcase , idevent , startdatetime FROM tabela ORDER BY idcase, startdatetime	 	nan	nan	N	eventos	Requisição esquisita
33.0	medium	SELECT Count(log2.activity) FROM log2	SELECT resource, count(idevent) FROM log5 WHERE activity = 'Closed' GROUP BY resource	2713	2713	nan	nan	*Original - acho que já vi essa consulta antes - VERIFICAR	nan	Total de atividades encerradas por recurso.	Total activities closed by resource.	"SELECT resource,count(idevent) FROM log_numero5 WHERE activity = ""Closed"" GROUP BY resource"	"Qual é o total de vezes em que cada recurso foi responsável por executar a atividade ""declaração aprovada pela administração""?"	"What is the total number of times each resource was responsible for performing the activity ""declaration approved by administration""?"	"SELECT count(*), resource FROM events_log WHERE activity = ""Declaration approved by administration"" GROUP BY resource"	S	recurso	nan
34.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	"Quantos eventos de execução da atividade ""closed"" foram executados por cada recurso?"	"How many activity ""closed"" execution events were executed by each resource?"	"SELECT resource,count(idevent) FROM log_numero5 WHERE activity = ""Closed"" GROUP BY resource"	"Quantos eventos de execução da atividade ""declaração aprovada pela administração"" foram executados por cada recurso?"	"How many activity ""declaration approved by administration"" execution events were executed by each resource?"	"SELECT count(*), resource FROM events_log WHERE activity = ""Declaration approved by administration"" GROUP BY resource"	S	recurso	nan
35.0	extra	SELECT Count(*) FROM log2 WHERE log2.resource = 'terminal' AND log2.costevent = 'terminal'	SELECT activity, count(idevent) FROM log5 WHERE resource = 'Minnie' AND startdatetime BETWEEN '2010-01-01' AND '2010-12-31' GROUP BY activity	2714	2714	nan	nan	*Original (acho que está mal escrita, embora eu imagino que as pessoas fariam assim mesmo)	nan	"Total por atividade realizadas pelo recurso ""Minnie"" em 2010."	"Total by activity performed by the ""Minnie"" resource in 2010."	"SELECT activity,count(idevent) FROM log_numero5 WHERE resource = ""Minnie"" AND startdatetime BETWEEN '2010-01-01' AND '2010-12-31' GROUP BY activity"	"Liste a quantidade de vezes em que o recurso ""Thomas"" executou cada uma das atividades deste processo de negócio, no ano de 2017."	"List the number of times the resource ""Thomas"" performed each of the activities of this business process, in the year 2017."	"SELECT count(*), activity FROM events_log WHERE  resource = ""Thomas"" AND timestamp BETWEEN '2017-01-01' AND '2018-01-01' GROUP BY activity"	S	atividade	nan
36.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	"Quantas execuções de atividades foram realizadas pelo recurso ""Minnie"" em 2010?"	"How many activity runs were performed by the ""Minnie"" feature in 2010?"	"SELECT count(*) FROM log_numero5 WHERE resource = ""Minnie"" AND startdatetime BETWEEN '2010-01-01' AND '2010-12-31'"	"Quantas execuções de atividades foram realizadas pelo recurso ""Thomas"" em 2017?"	"How many activity runs were performed by the ""Thomas"" feature in 2017?"	"SELECT count(*) FROM events_log WHERE  resource = ""Thomas"" AND timestamp BETWEEN '2017-01-01' AND '2018-01-01'"	S	eventos	nan
37.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	"Em quantos eventos o recurso ""Minnie"" esteve envolvido em 2010?"	"How many events has the resource ""Minnie"" been involved in in 2010?"	"SELECT count(*) FROM log_numero5 WHERE resource = ""Minnie"" AND startdatetime BETWEEN '2010-01-01' AND '2010-12-31'"	"Em quantos eventos o recurso ""Thomas"" esteve envolvido em 2017?"	"How many events has the resource ""Thomas"" been involved in in 2017?"	"SELECT count(*) FROM events_log WHERE  resource = ""Thomas"" AND timestamp BETWEEN '2017-01-01' AND '2018-01-01'"	S	eventos	nan
38.0	medium	SELECT * FROM log2 ORDER BY log2.startdatetime Desc LIMIT 1	SELECT activity, max(enddatetime) FROM log3 GROUP BY activity	2715	2715	nan	nan	Original (entendi mas está esquisita, e não sei se fui feliz ao arrumar)	nan	Data mais recente da realização de cada atividade.	Most recent date of each activity.	SELECT activity,max(enddatetime) FROM log_numero3 GROUP BY activity	 	nan	SELECT max(timestamp), activity FROM events_log GROUP BY activity	S	atividade	nan
39.0	extra	SELECT Count(*) FROM log1	SELECT activity, count(idevent) FROM log1 WHERE activity = 'Resolved' AND enddatetime BETWEEN '2020-01-01' AND '2020-12-31' GROUP BY activity UNION SELECT activity, count(idevent) FROM log1 WHERE activity = 'New' AND enddatetime > '2020-12-31' GROUP BY activity	2717	2717	nan	nan	*Original (a consulta é boa, mas precisa usar o nome da atividade como um label e não como uma semântica)	nan	Contagem de atividade resolvidas em 2020 e novas em 2021	Count of activities resolved in 2020 and new in 2021	SELECT activity,count(idevent) FROM log_numero1 WHERE activity = 'Resolved' AND enddatetime BETWEEN '2020-01-01' AND '2020-12-31' GROUP BY activity UNION SELECT activity,count(idevent) FROM log_numero1 WHERE activity = 'New' AND enddatetime > '2020-12-31' GROUP BY activity	"Quantas ocorrências da atividade ""declaração aprovada pelo supervisor"" foram realizadas em 2017 e quantas ocorrências da atividade ""permissão rejeitada pelo funcionário"" foram realizadas em 2018?"	"How many occurrences of the activity ""declaration approved by supervisor"" were performed in 2017 and how many occurrences of the activity ""permit reject by employee"" were performed in 2018?"	SELECT activity, count(*) FROM events_log WHERE activity = 'Declaration approved by supervisor' AND timestamp BETWEEN '2017-01-01' AND '2018-01-01' GROUP BY activity  UNION SELECT activity, count(*) FROM events_log WHERE activity = 'Permit rejected by employee'  AND timestamp  BETWEEN '2018-01-01' AND '2019-01-01' GROUP BY activity	S	atividade	nan
40.0	medium	SELECT *, log2.enddatetime, log2.enddatetime FROM log2 ORDER BY log2.enddatetime Asc	SELECT activity, enddatetime, idevent FROM log1 ORDER BY enddatetime	2718	2718	nan	nan	Original (eu entendi, mas não se faz uma consulta assim, né?)	nan	Tabela de atividade, data de término e id do evento ordenado pela data de término	Activity table, end date and event id sorted by end date	SELECT activity,enddatetime,idevent FROM log_numero1 ORDER BY enddatetime	 	nan	SELECT activity, timestamp, id FROM events_log ORDER BY timestamp	S	eventos	Enunciado sem muito sentido
41.0	extra	SELECT Count(log1.activity) FROM log1	SELECT activity, count(idevent) FROM log4 WHERE resource = 'Joakim' AND activity = 'In Progress' GROUP BY activity	2719	2719	nan	nan	*Original	nan	Total de atividades em progresso do Joakim	Joakim's total activities in progress	SELECT activity,count(idevent) FROM log_numero4 WHERE resource = 'Joakim' AND activity = 'In Progress' GROUP BY activity	"Em quantas ocorrências da atividade ""declaração requisitada pelo funcionário"" o recurso Thomas este atuante?"	"In how many occurrences of the activity ""declaration submitted by employee"" is Thomas active?"	SELECT count(*) FROM events_log WHERE resource = 'Thomas' AND activity = 'Declaration submitted by employee'	S	eventos	nan
42.0	extra	SELECT Count(log1.costevent) FROM log1 WHERE log1.costevent = 'terminal'	SELECT resource, count(idevent) FROM log4 WHERE resource = 'Priscila' AND costevent != 'null' GROUP BY resource	2720	2720	nan	nan	*Original	nan	Contagem de eventos do recurso Priscila na qual a informação de custo está disponível	Priscilla resource event count in which cost information is available	SELECT resource,count(idevent) FROM log_numero4 WHERE resource = 'Priscila' AND costevent IS NOT NULL GROUP BY resource	Em quantos eventos associados ao recurso Diana existe a informação de custo?	In how many events associated with the resource Diana is there cost information?	SELECT count(*) FROM events_log WHERE resource = 'Diana' AND cost IS NOT NULL	S	eventos	nan
