1	Classificação Spider	Statement SQL gerado automaticamente	Statement SQL gerado pelo humano (corrigido?)			Acerto/errou	wh-question	Com asterisco = errada		Consulta em português	Consulta em inglês	Statement em SQL gerado pelo humano	 	
	medium								paráfrase	Informe o número de eventos executados por cada um dos recursos.	Inform the number of events executed by each resource.	 	 	
	medium								paráfrase	Quantas vezes cada um dos recursos aparece no log de eventos?	How many times does each resource appear in the event log?	 	 	
	medium								paráfrase	Informe o número de vezes que cada um dos recursos aparece no log de eventos.	Inform the number of times each resource appears in the event log.	 	 	
	medium								paráfrase	Informe em quantos eventos cada recurso está envolvido.	Inform how many events each resource is involved in.	 	 	
	medium							(talvez fique melhor falar em atividade)	paráfrase	Em quantas execuções de atividades cada recurso está envolvido?	How many activity executions is each resource involved in?	 	 	
	medium								paráfrase	Qual é a quantidade de execuções de atividades que cada recurso está envolvido?	What is the number of executions of activities that each resource is involved in?	 	 	
													 	
4	easy	SELECT Count(*) FROM log2 WHERE log2.idevent = 'terminal'	SELECT COUNT(idevent) FROM log6 WHERE resource = 'Peter'	2670	2670			Original	original	"Mostre a quantidade de eventos que tiveram Peter como ""resource""."	"Show the amount of events that have had Peter as ""resource""."	"SELECT COUNT(idevent) FROM Gerenciamento de problemas - abertos VOLVO WHERE resource = ""Peter"""	 	
	easy							Outras possibilidades corretas no contexto de mineração de processos	paráfrase	Quantas vezes o recurso 'Peter' executou uma atividade?	How many times has resource 'Peter' performed an activity?	"SELECT COUNT(*) FROM log2 WHERE resource = ""Peter"""	 	
	easy								paráfrase	Quantos eventos foram executados pelo recurso 'Peter'?	How many events were executed by resource 'Peter'?	"SELECT COUNT(idevent) FROM log2 WHERE resource = ""Peter"""	 	
	easy								paráfrase	Quantas vezes o funcionário 'Peter' executou uma atividade?	How many times has employee 'Peter' performed an activity?	 	 	
	easy								paráfrase	Quantos eventos foram executados pelo funcionário 'Peter'?	How many events did employee 'Peter' run?	 	 	
	easy								paráfrase	Informe o número de vezes em que o recurso 'Peter' foi responsável por uma atividade.	Report the number of times resource 'Peter' was responsible for an activity.	 	 	
	easy								paráfrase	Informe o número de vezes em que o funcionário 'Peter' foi responsável por uma atividade.	Report the number of times employee 'Peter' was responsible for an activity.	 	 	
												 	 	
5	medium	SELECT log2.idcase FROM log5 WHERE log1.enddatetime = 'terminal'	SELECT DISTINCT idcase, enddatetime FROM log1 WHERE enddatetime BETWEEN '2016-03-01' AND '2016-03-31'	2671	2671			Original	original	Mostre todos os casos que terminaram em março de 2016.	Show all cases that ended in March 2016	SELECT DISTINCT idcase FROM Gerenciamento de incidentes WHERE enddatetime LIKE '2016-03%'	 	
	medium							Outras possibilidades corretas no contexto de mineração de processos	paráfrase	Mostre todos os casos de finalizaram em março de 2016.	Show all cases that finalized in March 2016.	(mas o enddatetime é finalização de evento não é? Não é finalização de case)	 	
	medium							(esse uso do enddatatime é um problema porque isso varia de log para log, eu acho que essa consulta não pode ser resolvida com SQL, pois teríamos que encontrar o último evento do caso - como fazer isso com SQL?)	paráfrase	Informe o identificador dos casos que terminaram em março de 2016.	Inform the identifier of cases that ended in March 2016.	 	 	
	medium							"(terminar não quer dizer ter um tal ""ultimo"" evento executado e sim exatamente o evento de fim executado)"	paráfrase	Informe o identificador casos que finalizaram em março de 2016.	Inform the identifier for cases that finalized in March 2016.	 	 	
	medium								paráfrase	Informe o identificador de todos os casos cujo último evento ocorreu em março de 2016.	Inform the identifier of all cases whose last event occurred in March 2016.	 	 	
	medium								paráfrase	Quais casos terminaram em março de 2016?	Which cases ended in March 2016?	 	 	
	medium								paráfrase	Quais casos finalizaram em março de 2016?	Which cases finalized in March 2016?	 	 	
													 	
6	hard	SELECT log1.idcase FROM log1 EXCEPT SELECT log1.idcase FROM log1 WHERE log1.resource = 'terminal'	SELECT DISTINCT idcase FROM log1 WHERE activity = 'New' EXCEPT SELECT idcase FROM log1 WHERE resource = 'Updated by 804'	2672	2672			Original		"Mostre os casos que foram abertos, exceto aqueles que foram abertos pelo ""resource"" 804"	"Show cases that have been opened, except those that have been opened by ""resource"" 804"	"SELECT DISTINCT idcase FROM Gerenciamento de incidentes WHERE activity = ""New"" EXCEPT SELECT idcase FROM Gerenciamento de incidentes WHERE resource = ""Updated by 804"""	 	
	hard									"Mostre todos os casos que passaram pela atividade ""open"", exceto aqueles em que a atividade foi executada pelo ""resource"" 804."	"Show all cases that passed through the activity ""open"" , except those where the activity was performed by ""resource"" 804."	 	 	
	hard									"Mostre os identificadores dos casos que passaram pela atividade ""open"", exceto aqueles em que a atividade foi executada pelo ""resource"" 804."	"Show identifiers of cases that passed through the activity ""open"", except those where the activity was performed by ""resource"" 804."	 	 	
	hard									"Mostre todos os casos que passaram pela atividade ""open"", exceto aqueles em que a atividade foi executada pelo recurso 804."		 	 	
	hard									"Mostre os identificadores dos casos que passaram pela atividade ""open"", exceto aqueles em que a atividade foi executada pelo recurso 804."		 	 	
	hard									"Informe os identificadores dos casos que passaram pela atividade ""open"", exceto aqueles em que a atividade foi executada pelo ""resource"" 804."	"Inform the identifiers of cases that went through the activity ""open"", except those in which the activity was performed by ""resource"" 804."	 	 	
	hard									"Recupere os identificadores dos casos que passaram pela atividade ""open"", exceto aqueles em que a atividade foi executada pelo ""resource"" 804."	"Retrieve the identifiers of the cases that passed through the activity ""open"", except those where the activity was performed by ""resource"" 804."	 	 	
	hard									"Liste os identificadores dos casos que passaram pela atividade ""open"", exceto aqueles em que a atividade foi executada pelo ""resource"" 804."	"List the identifiers of cases that went through the activity ""open"", except those where the activity was performed by ""resource"" 804."	 	 	
	hard									"Liste todos os casos que passaram pela atividade ""open"", exceto aqueles em que a atividade foi executada pelo recurso 804."	"List all cases that passed through the activity ""open"", except those where the activity was performed by resource 804."	 	 	
	hard									"Informe todos os casos que passaram pela atividade ""open"", exceto aqueles em que a atividade foi executada pelo recurso 804."	"Report all cases that went through the activity ""open"", except those where the activity was performed by resource 804."	 	 	
	hard									"Recupere todos os casos que passaram pela atividade ""open"", exceto aqueles em que a atividade foi executada pelo recurso 804."	"Retrieve all cases that passed through the activity ""open"", except those where the activity was performed by resource 804."	 	 	
	hard									Em quais casos a atividade open não foi executada pelo recurso 804?	"In which cases was the activity ""open"" not performed by resource 804?"	 	 	
	hard									Quais casos não foram abertos pelo recurso 804?	Which cases were not opened by the resource 804?	 	 	
													 	
7	easy	SELECT Count(DISTINCT log1.resource) FROM log1	SELECT COUNT(DISTINCT resource) FROM log5	2673	2673			Original		Quantos recursos diferentes existem no log?	How many different resources are there in the log?	SELECT COUNT(DISTINCT resource) AS n_resources FROM volvo	 	
	easy							Outras possibilidades corretas no contexto de mineração de processos		Quantos recursos diferente existem no log de eventos?	How many different resources are there in the event log?	SELECT COUNT(DISTINCT resource) FROM log5	 	
	easy									Quantos recursos distintos existem no log de eventos?	How many distinct resources are there in the event log?		 	
	easy									Quantas recursos existem no log de eventos?	How many resources are in the event log?		 	
	easy									Quantas pessoas diferentes executaram atividades?	How many different people performed activities?		 	
	easy										How many different people have performed activities?		 	
	easy									Quantas pessoas diferentes aparecem no log de eventos?	How many different people appear in the event log?		 	
	easy										How many different people have appeared in the event log?		 	
	easy									Quantos recursos diferentes aparecem no log de eventos?	How many different resources appear in the event log?		 	
	easy									Quantos recursos diferentes executaram atividades?	How many different resources performed activities?		 	
	easy									Informe quantos recursos diferentes existem no log de eventos.	Report how many different resources there are in the event log.		 	
	easy									Informe quantas pessoas diferentes aparecem no log de eventos.	Report how many different people appear in the event log.		 	
	easy									Informe quantos recursos diferentes executaram atividades.	Report how many different resources performed activities.		 	
													 	
8	medium	SELECT Sum(*) FROM log1	SELECT resource, COUNT(resource) FROM log5 GROUP BY resource	2674	2674			Original		Qual é o total de eventos relacionado a cada recurso?	What is the total of events related to each feature?	SELECT resource, COUNT(resource) AS n_events_by_resource FROM volvo GROUP BY resource	 	
	medium										What is the total of events related to each resource?	SELECT resource, COUNT(idevent) AS n_events_by_resource FROM volvo GROUP BY resource	 	
	medium							Outras possibilidades corretas no contexto de mineração de processos		Qual é o total de eventos em que cada recurso trabalhou?	What is the total number of events each resource has worked on?		 	
	medium							Essas consultas são iguais às consultas 2669		Qual é o total de eventos em que cada recurso esteve envolvido?	What is the total number of events each resource has been involved in?	 	 	
													 	
9	medium	SELECT log2.idcase, log2.idevent FROM log2 WHERE log2.costevent > 'terminal'	SELECT idcase, idevent FROM log2 WHERE costevent > 10	2675	2675			*Original (precisamos colocar um valor, senão a consulta fica incompleta)		Quais são os idcase e idevent em que o custo são maiores que um determinado valor?	What are the idcase and idevent where the cost is greater than a certain value?	"SELECT ALL idcase, idevent FROM justica WHERE costevent > value;"	 	
	medium							Corrigindo nas palavras originais do humano		Quais são os idcase e idevent em que o custo são maiores que 10.000?	What are the idcase and idevent where the cost is greater than 10,000?	 	 	
	medium										What are the idcase and idevent in which the cost is greater than 10,000?	 	 	
	medium							Melhorando e trazendo outras possibilidades		Informe os identificadores dos casos e de seus respectivos eventos que possuem custos maiores do que 10.000	Inform the identifiers of the cases and their respective indentifiers of events that have costs greater than 10,000	 	 	
	medium							Uma forma alternativa e melhor de fazer essa consulta (MUDA O SQL levemente)		Quais são os cases associados a eventos que possuem um custo maior que 10.000	What are the cases associated with events that have a cost greater than 10,000	"SELECT ALL idcase FROM justica WHERE costevent > value;"	 	
													 	
10	extra	SELECT log1.resource FROM log1 GROUP BY log1.resource ORDER BY Count(*) Desc LIMIT 1	SELECT resource, COUNT(resource) FROM log2 GROUP BY resource ORDER BY COUNT(resource) DESC	2676	2676			Original		Quais foram os recursos que tiveram mais eventos relacionados?	What were the resources that had the most events?	"SELECT resource, COUNT(resource) as n_events FROM justica GROUP BY resource ORDER BY n_events DESC;"	 	
	extra									Quais recursos mais tiveram eventos relacionados?	(the most não me parece ser uma boa tradução porque remete à ideia de maioria)	(a solicitação de consulta perguntais quais e não quantos - para ter uma consulta com quantos precisa mudar a solicitação para qual recurso e quantos foram os eventos)	 	
	extra							(com a correção da consulta em SQL continuamos classificando como extra?)		Quais recursos tiveram a maior quantidade de eventos relacionados?	What resources had the highest number of events related with them?	(além disso não teríamos a ordenação. Eu criei uma nova consulta para atender a esse SQL - abaixo)	 	
	extra									Quais recursos se relacionaram à maior quantidade de eventos?	What resources were related to the highest number of events?	precisa resolver essa consulta sem reportar o count e pegar o top ou o max do count	 	
	extra							(essa pergunta teria que ser no singular, não?)		Qual recurso foi responsável pela execução de mais eventos?	Which resource was responsible for executing the highest number of events?	 	 	
	extra									Qual recurso foi responsável pela execução do maior número de eventos?		 	 	
	extra									Qual recurso participou de mais eventos?	Which resource participated in the highest number of events?	 	 	
	extra									Qual recurso participou do maior número de eventos?		 	 	
	extra									Qual recurso se relacionou com a mais eventos?	Which resource related to the highest number of events?	 	 	
	extra									Qual recurso se relacionaou com o maior número de eventos?		  	 	
												 	 	
11							nova consulta		original					
	?						nova consulta		corrigida	Qual recurso está relacionado a mais eventos e a quantos eventos ele está relacionado?	What resource were related to the highest number of events, and how many events is they related to?	precisa resolver essa consulta pegando o top ou o max do count	 	
	?								paráfrases	Qual recurso está relacionado com o maior número de eventos e a quantos eventos ele está relacionado?	 	 	 	
	?								paráfrases	Qual recurso mais se relacionou a eventos e a quantos eventos ele se relacionou?	Which resource related to the events the most and how many events did they relate to?	 	 	
	?								paráfrases	Qual foi o recurso responsável pela execução de mais eventos e quantos eventos ficaram sob sua responsabilidade?	Which resource was responsible for running the highest number of events and how many events were under your responsibility?	 	 	
	?								paráfrases	Qual foi o recurso responsável pela execução do maior número de eventos e quantos eventos ficaram sob sua responsabilidade?	 	 	 	
	?								paráfrases	Qual recurso participou de mais eventos e quantos são esses eventos?	Which resource participated in the highest number of events and how many are those events?	 	 	
	?								paráfrases	Qual recurso participou do maior número de eventos e quantos foram são esses eventos?	 	 	 	
													 	
12	?						nova consulta			Liste todos os recursos e a quantos eventos cada um está relacionado, em ordem decrescente em relação ao número de eventos.	List all resources and how many events each is related to, in descending order of number of events.	"SELECT resource, COUNT(*) as n_events FROM justica GROUP BY resource ORDER BY n_events DESC;"	 	
	?									Liste todos os rescursos acompanhado de quantos eventos cada uma está relacionado e ordene a resposta por ordem descrescente no número de eventos.	List all the resources accompanied by how many events each one is related to and sort the answer in descending order of number of events.	 	 	
	?									Liste todos os rescursos e a quantidade de eventos sob responsabilidade de cada um. Ordene a resposta por ordem descrescente em relaçao ao número de eventos.	List all resources and the number of events under the responsibility of each one. Sort the answer in descending order in relation to the number of events.	 	 	
	?									Liste todos os rescursos e em quantos eventos cada recurso participou. Ordene a resposta de forma descrescente considerando a quantidade de eventos.	List all resources and how many events each resource participated in. Sort the answer in descending order considering the number of events.	 	 	
	?									Liste os recursos e a quantidade de vezes em que eles executaram atividades. Ordene a resposta de forma descrescente por quantidade de execuções de atividades.	List the resources and the number of times they performed activities. Sort the answer in descending order by number of activity executions.	 	 	
													 	
13	easy	SELECT * FROM log1 WHERE log1.costevent != 'terminal'	SELECT * FROM log6 WHERE costevent != 'null'	2677	2677			Original		Quais são os eventos em que o custo de evento não são nulos?	What are the events where the event cost is not null?	"SELECT * FROM volvo WHERE costevent IS NOT NULL;"	 	
	easy							Apenas reescrevendo		Quais eventos possuem custo não nulo?	Which events have a non-null cost?	"SELECT * FROM log5 WHERE costevent IS NOT NULL;"	 	
	easy									Liste os eventos que possuem custo não nulo.	List the events that have a non-null cost.	 	 	
	easy									Quais eventos possuem custo diferente de nulo?	Which events have a cost other than non-null?	 	 	
	easy									Liste os eventos que possuem custo diferente de nulo.	List the events that have a cost other than null.	 	 	
	easy							Possibilidades corretas no contexto de mineração de processos		Quais eventos possuem custo informado?	Which events have an informed cost?	 	 	
	easy									Quais são os eventos para os quais há custo informado?	What are the events for which there is an informed cost?	 	 	
	easy									Liste os eventos que possuem custo informado.	List the events that have an informed cost.	 	 	
	easy									Liste os eventos para os quais há custo informado.	List the events for which there is a reported cost.	 	 	
												 	 	
14	extra	SELECT log1.resource FROM log1 WHERE log1.costevent = 'terminal' INTERSECT SELECT log1.resource, log1.costevent FROM log1 WHERE log1.costevent = 'terminal'	SELECT idcase, idevent, startdatetime, activity, resource FROM log6 WHERE activity = 'In Progress' UNION SELECT idcase, idevent, startdatetime, activity, resource FROM log6 WHERE activity = 'Closed'	2678	2678			* Original (a requisição original não faz sentido, é incompleta)		"Retornar apenas os eventos ""In Progress"" e ""Closed"""	"Return only ""In Progress"" and ""Closed"" events"	"SELECT idcase, idevent, startdatetime, activity, resource WHERE activity = ""In Progress"" UNION SELECT idcase, idevent, startdatetime, activity, resource WHERE activity = ""Closed"""	 	
	extra							(eu tenho a impressão que o correto é usar OU e não E, porque não haverá eventos associados a duas atividades ao mesmo tempo)		"Retorne os dados dos eventos relacionados à execução das atividades ""In Progress"" ou ""Closed""."	"Return data from events related to the execution of activities ""In Progress"" or ""Closed""."	(está faltando o FROM nesse consulta)	 	
	extra									"Retorne as informações associadas aos eventos relacionados às atividades ""In Progress"" ou ""Closed""."	"Return information associated with events related to activities ""In Progress"" or ""Closed""."	"SELECT idcase, idevent, startdatetime, activity, resource FROM logX WHERE activity = ""In Progress"" OR activity = ""Closed"""	 	
	extra									"Quais são as informações associadas aos eventos referentes às atividades ""In Progress"" ou ""Closed""."	"What is the information associated with events regarding the activities ""In Progress"" or ""Closed""."	"SELECT * FROM logX WHERE activity = ""In Progress"" OR activity = ""Closed"""	 	
	extra									"Liste os dados referentes ao eventos associados às instâncias das atividades nomeadas ""In Progress"" ou ""Closed""."	"List data for events associated with instances of activities named ""In Progress"" or ""Closed""."	"(usado o OR a consulta continua sendo ""extra""?)"	 	
													 	
15	extra	SELECT log2.activity FROM log2 GROUP BY log2.activity ORDER BY Count(*) Desc LIMIT 1	SELECT activity, COUNT(activity) FROM log1 GROUP BY activity ORDER BY COUNT(activity)	2679	2679			* Original (achei que não fez sentido do jeito original)		Quais são as atividades com maior frequência?	What are the most frequent activities?	SELECT activity, COUNT(activity) AS n_activity FROM indicidentes GROUP BY activity ORDER BY n_activity	 	
	extra							(melhorando o original)		Qual é a atividade com maior frequência?	What is the most frequent activity?		 	
	extra							(este é o mesmo caso que uma consulta anterior - linha 92)		Qual é a atividade mais frequentemente executada?	What is the most frequently performed activity?	(a requisição não pede para ordenar e não pede a contagem)	 	
	extra							A requisição quer que liste a de maior frequência? Estou considerando isso.		Qual atividade aparece mais frequentemente no log de eventos?	Which activity appears most frequently in the event log?	precisa fazer a consulta sem mostrar a contagem	 	
	extra							Fiz consultas novas, para incluir a ordenação.		Recupere o nome da atividade que é mais frequentemente executada nesse processo de negócio.	Retrieve the name of the activity that is most frequently performed in this business process.	 	 	
													 	
16	?						nova consulta	"(nenhuma consulta até agora trouxe o as palavras ""Processo"" e ""negócio"". Talvez nós devêssemos prever o uso dessas palavras nos enunciados)"		Recupere o nome das atividades e a quantidade de vezes que elas foram executadas. Ordene a resposta de acordo com a frequência de execução das atividades.	Retrieve the name of the activities and the number of times they were executed. Sort the answer according to the frequency of execution of the activities.	SELECT activity, COUNT(activity) AS n_activity FROM indicidentes GROUP BY activity ORDER BY n_activity	 	
	?									Quais são as atividades deste processo de negócio e quantas vezes elas foram executadas? Ordene sua resposta em relação à frequência de execução das atividades.	What are the activities of this business process and how many times were they performed? Sort your answer in relation to the frequency of execution of the activities.	SELECT activity, COUNT(*) AS n_activity FROM indicidentes GROUP BY activity ORDER BY n_activity	 	
	?									Retorne o nome das atividades e quantas vezes elas ocorrem no log de eventos, ordenando a lista pelo número de ocorrências das atividades.	Return the name of the activities and how many times they occur in the event log, sort the list by the number of occurrences of the activities.	(fiquei na dúvida sobre o count(*))	 	
													 	
17	easy	SELECT * FROM log1 WHERE log1.costevent = 'terminal'	SELECT * FROM log1 WHERE enddatetime BETWEEN '2016-01-01' AND '2017-01-31'	2680	2680			Original		Quais são os eventos que aconteceram no ano de 2016?	What are the events that took place in the year 2016?	"SELECT * FROM incidentes WHERE endtime BETWEEN '2016-01-01' AND '2017-01-01';"	 	
	easy										What are the events that happened in the year 2016?	"SELECT * FROM log1 WHERE endtime BETWEEN '2016-01-01' AND '2017-01-01';"	 	
	easy									Quais eventos ocorreram no ano de 2016?	What events took place in the year 2016?		 	
	easy										What events occurred in the year 2016?		 	
	easy									Quais eventos aconteceram em 2016?	What events took place in 2016?		 	
	easy										What events happened in 2016?		 	
	easy									Quais eventos ocorreram em 2016?	What events occurred in 2016?		 	
	easy									Quais eventos ocorreram durante o ano de 2016?	What events took place during the year 2016?		 	
	easy										What events occurred during the year 2016?		 	
	easy									Quais eventos aconteceram durante o ano de 2016?	What events happened during the year 2016?		 	
	easy									Quais eventos ocorreram durante 2016?	What events took place during 2016?		 	
	easy										What events occurred during 2016?		 	
	easy									Quais eventos aconteceram durante 2016?	What events happened during 2016?		 	
	easy									Liste os eventos cujo 'timestamp' se refere ao ano de 2016.	List the events whose 'timestamp' refers to the year 2016.	"SELECT * FROM log1 WHERE timestamp BETWEEN '2016-01-01' AND '2017-01-01';"	 	
	easy									Liste os eventos com 'timestamp' em 2016.	List events with 'timestamp' in 2016.		 	
													 	
18	easy	SELECT log1.idcase FROM log1 GROUP BY log1.idcase HAVING Count(*) BETWEEN 'terminal' AND 'terminal'	SELECT idcase FROM log3 GROUP BY idcase HAVING count(idcase) BETWEEN 1 AND 20	2681	2681			*Original (talvez eu não tenha entendido a intenção da consulta, mas me parece que mesmo para a consulta original o statement SQL está errado)		Quais são os incidentes com a quantidade de cases entre 1 e 20 eventos de atualização?	What are the incidents with the number of cases between 1 and 20 update events?	"*SELECT idcase FROM process_mining.gerenciamento_de_incidentes GROUP BY idcase having count(idcase) between 1 and 20;"	 	
	easy							Possibilidades corretas no contexto de mineração de processos		Quais são os incidentes com até 20 eventos?	What are the incidents with up to 20 events?	"SELECT idcase FROM log3 GROUP BY idcase HAVING count(idevent) <= 20;"	 	
	easy									Quantos incidentes possuem até 20 eventos associados?	How many incidents have up to 20 events associated with them?	"SELECT idcase FROM log3 GROUP BY idcase HAVING count(*) <= 20;"	 	
	easy									Em quantos incidentes foram executados até 20 eventos?	On how many incidents were up to 20 events executed?		 	
	easy									Em quantos incidentes foram executadas até 20 atividades?	In how many incidents were up to 20 activities performed?		 	
	easy									Liste todos os incidentes que possuem até 20 eventos associados.	List all incidents that have up to 20 events associated with them.		 	
	easy									Liste todos os incidentes cujo trace possua até 20 eventos.	List all incidents whose trace has up to 20 events.		 	
													 	
19	hard	SELECT log6.resource FROM log6 GROUP BY log6.resource ORDER BY Count(*) Desc LIMIT 1	SELECT resource FROM log2 GROUP BY resource ORDER BY count(idevent) DESC LIMIT 5	2683	2683			Original		Quais são os top 5 recursos com a maior quantidade de cases?	What are the top 5 resources with the most cases?	"SELECT resource FROM process_mining.judicial GROUP BY resource ORDER BY count(idevent) desc LIMIT 5;"	 	
	hard							(achei bem difícil escrever essa consulta, não sei se o enunciado está bom)		Liste os cinco recursos que trabalharam na maior quantidade de cases.	List the five resources that worked on the highest number of cases.	(se em caso, tem que contar o caseID - para ser evento, tem que mudar a consulta, criei uma nova consulta para isso)	 	
	hard									Recupere os cinco recursos associados às maiores quantidades de cases.	Retrieve the five resources associated with the highest number of cases.	"SELECT resource FROM process_mining.judicial GROUP BY resource ORDER BY count(idcase) desc LIMIT 5;"	 	
	hard									Retorne os cinco recursos requisitados na maior quantidade de cases.	Return the five requested resources in the higest number of cases.	(ver se ela funciona)	 	
													 	
20	?						nova consulta			Quais são os top 5 recursos com a maior quantidade de eventos?	What are the top 5 resources with the most events?	"SELECT resource FROM process_mining.judicial GROUP BY resource ORDER BY count(idevent) desc LIMIT 5;"	 	
	?									Liste os cinco recursos que trabalharam na maior quantidade de eventos.	List the five resources that worked on the highest number of events.	 	 	
	?									Recupere os cinco recursos associados às maiores quantidades de eventos.	Retrieve the five resources associated with the highest number of events.	(ver se ela funciona)	 	
	?									Retorne os cinco recursos requisitados na maior quantidade de eventos.	Return the five requested resources in the higest number of events.	 	 	
													 	
21	extra	SELECT Count(*), log1.resource FROM log1 WHERE log1.enddatetime = 'terminal' GROUP BY log1.resource	SELECT resource, count(*) FROM log6 WHERE activity = 'In Progress' AND startdatetime BETWEEN '2012-01-01' AND '2012-12-31' GROUP BY resource	2686	2686			*Original (não está exatamente correta)		Quantas atividades em progresso temos para cada recurso no ano de 2012?	How many activities do we have in progress for each resource in the year of 2012?	"SELECT resource, count(*) FROM log6 WHERE activity=""In Progress"" AND startdatetime LIKE '2012%' GROUP BY resource"	 	
	extra							Corrigindo na original		"Quantas atividades ""In progress"" temos para cada recurso no ano de 2012?"	"How many activities ""In progress"" do we have for each resource in the year 2012?"	 	 	
	extra									"Quantas ocorrências da atividade ""in progress"" existem associadas a cada recurso no ano de 2012?"	"How many instances of the activity ""in progress"" are there associated with each resource in the year 2012?"	 	 	
